Person_Id,Gender,Birth_City,First_Name,Last_Name,Birth_Country,Date_of_Birth
1,Male    ,Kauman              ,Benjamin       ,Harper         ,Indonesia           ,3/12/2007
2,Female  ,Pondokrejo Wetan    ,Catherine      ,Fowler         ,Indonesia           ,11/10/1987
3,Female  ,Nuga                ,Debra          ,Lane           ,Mongolia            ,12/29/1968
6,Female  ,Zhili               ,Sarah          ,Davis          ,China               ,9/4/1975
7,Male    ,Santander           ,Roger          ,Bailey         ,Spain               ,7/27/1987
8,Male    ,Battle Creek        ,Russell        ,Marshall       ,United States       ,4/24/1992
9,Female  ,Itabaianinha        ,Mildred        ,Montgomery     ,Brazil              ,12/20/1954
10,Female  ,Santa Maria         ,Lori           ,Banks          ,Mexico              ,8/25/1999
13,Female  ,Riti                ,Melissa        ,Hicks          ,Nigeria             ,12/25/1962
14,Female  ,Punta Arenas        ,Linda          ,Richards       ,Chile               ,3/24/2003
15,Male    ,Chigasaki           ,Walter         ,Collins        ,Japan               ,2/4/1986
16,Male    ,Si Satchanalai      ,Ryan           ,Hughes         ,Thailand            ,6/10/2007
17,Female  ,Luqa                ,Alice          ,Murphy         ,Malta               ,7/3/1983
18,Male    ,Ventanas            ,Louis          ,Nichols        ,Ecuador             ,2/24/1974
19,Male    ,Columbia            ,Phillip        ,Lewis          ,United States       ,12/24/1990
20,Male    ,Yuxi                ,Bobby          ,Gutierrez      ,China               ,3/3/1953
21,Female  ,Xiaojiang           ,Teresa         ,Perkins        ,China               ,2/6/1960
22,Male    ,Gennevilliers       ,Randy          ,Carter         ,France              ,1/13/1998
23,Male    ,Suponevo            ,Joe            ,Boyd           ,Russia              ,9/6/1959
24,Male    ,Dasheng             ,Paul           ,Sims           ,China               ,3/5/1985
25,Female  ,Curitibanos         ,Deborah        ,Martin         ,Brazil              ,3/25/1955
27,Female  ,Boavista            ,Kathleen       ,Harvey         ,Portugal            ,4/23/1992
28,Male    ,Pasirjaya           ,Billy          ,Martinez       ,Indonesia           ,1/7/1979
29,Female  ,Reshui              ,Sarah          ,Garza          ,China               ,12/1/1988
31,Male    ,Dumandesa           ,Matthew        ,Jones          ,Indonesia           ,3/14/2001
33,Male    ,Mloko               ,David          ,Hamilton       ,Indonesia           ,10/23/1966
34,Male    ,Hicksville          ,Jerry          ,Gutierrez      ,United States       ,3/14/1990
35,Male    ,Albany              ,Billy          ,Reid           ,United States       ,12/23/2001
36,Male    ,Zarszyn             ,Gerald         ,Vasquez        ,Poland              ,10/23/1975
